"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:066","066","Waimate District",2018,7815,"total people with a stated religious-affiliation response",3936,50.36,3879,49.64,11,14.08,0,3554.45,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:066","066","Waimate District",2023,8121,"total people with a stated religious-affiliation response",3726,45.88,4395,54.12,11,13.55,0,3554.45,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:067","067","Chatham Islands Territory",2013,546,"total people with a stated religious-affiliation response",354,64.84,192,35.16,3,54.95,0,794.56,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:067","067","Chatham Islands Territory",2018,663,"total people with a stated religious-affiliation response",342,51.58,321,48.42,3,45.25,0,794.56,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:067","067","Chatham Islands Territory",2023,612,"total people with a stated religious-affiliation response",267,43.63,345,56.37,3,49.02,0,794.56,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:068","068","Waitaki District",2013,19047,"total people with a stated religious-affiliation response",11364,59.66,7683,40.34,30,15.75,0,7108.3,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:068","068","Waitaki District",2018,22308,"total people with a stated religious-affiliation response",11619,52.08,10689,47.92,30,13.45,0,7108.3,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:068","068","Waitaki District",2023,23472,"total people with a stated religious-affiliation response",11319,48.22,12153,51.78,30,12.78,0,7108.3,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:069","069","Central Otago District",2013,16983,"total people with a stated religious-affiliation response",9462,55.71,7521,44.29,28,16.49,0,9933.03,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:069","069","Central Otago District",2018,21558,"total people with a stated religious-affiliation response",10026,46.51,11532,53.49,28,12.99,0,9933.03,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
