"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:41","41","Paraná - PR",2000,9550110,"resident population in SIDRA table 137, variable 93, category Total minus Sem declaração",9145532,95.76,404578,4.24,,,,199389.62,,,"ibge-sidra-137-religion-2000-2010|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs",""
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:41","41","Paraná - PR",2010,10443978,"resident population in SIDRA table 137, variable 93, category Total minus Sem declaração",9958892,95.36,485086,4.64,,,,199389.62,,,"ibge-sidra-137-religion-2000-2010|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs",""
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:41","41","Paraná - PR",2022,9972982,"people aged 10 years or older in SIDRA table 9537, variable 140, category Total minus Sem declaração",9370433,93.96,602549,6.04,,,,199389.62,,,"ibge-sidra-9537-religion-age10plus-2022|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs","age_universe_10_plus"
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:42","42","Santa Catarina - SC",2000,5350503,"resident population in SIDRA table 137, variable 93, category Total minus Sem declaração",5244819,98.02,105684,1.98,,,,95967.01,,,"ibge-sidra-137-religion-2000-2010|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs",""
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:42","42","Santa Catarina - SC",2010,6246571,"resident population in SIDRA table 137, variable 93, category Total minus Sem declaração",6042150,96.73,204421,3.27,,,,95967.01,,,"ibge-sidra-137-religion-2000-2010|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs",""
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:42","42","Santa Catarina - SC",2022,6650971,"people aged 10 years or older in SIDRA table 9537, variable 140, category Total minus Sem declaração",6230383,93.68,420588,6.32,,,,95967.01,,,"ibge-sidra-9537-religion-age10plus-2022|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs","age_universe_10_plus"
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:43","43","Rio Grande do Sul - RS",2000,10175019,"resident population in SIDRA table 137, variable 93, category Total minus Sem declaração",9696678,95.3,478341,4.7,,,,269263.99,,,"ibge-sidra-137-religion-2000-2010|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs",""
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:43","43","Rio Grande do Sul - RS",2010,10693465,"resident population in SIDRA table 137, variable 93, category Total minus Sem declaração",10062337,94.1,631128,5.9,,,,269263.99,,,"ibge-sidra-137-religion-2000-2010|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs",""
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:43","43","Rio Grande do Sul - RS",2022,9603162,"people aged 10 years or older in SIDRA table 9537, variable 140, category Total minus Sem declaração",8755869,91.18,847293,8.82,,,,269263.99,,,"ibge-sidra-9537-religion-age10plus-2022|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs","age_universe_10_plus"
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:50","50","Mato Grosso do Sul - MS",2000,2074918,"resident population in SIDRA table 137, variable 93, category Total minus Sem declaração",1909126,92.01,165792,7.99,,,,357443.03,,,"ibge-sidra-137-religion-2000-2010|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs",""
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:50","50","Mato Grosso do Sul - MS",2010,2448724,"resident population in SIDRA table 137, variable 93, category Total minus Sem declaração",2222940,90.78,225784,9.22,,,,357443.03,,,"ibge-sidra-137-religion-2000-2010|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs",""
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:50","50","Mato Grosso do Sul - MS",2022,2347317,"people aged 10 years or older in SIDRA table 9537, variable 140, category Total minus Sem declaração",2136845,91.03,210472,8.97,,,,357443.03,,,"ibge-sidra-9537-religion-age10plus-2022|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs","age_universe_10_plus"
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:51","51","Mato Grosso - MT",2000,2497707,"resident population in SIDRA table 137, variable 93, category Total minus Sem declaração",2322725,92.99,174982,7.01,,,,904691.18,,,"ibge-sidra-137-religion-2000-2010|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs",""
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:51","51","Mato Grosso - MT",2010,3033730,"resident population in SIDRA table 137, variable 93, category Total minus Sem declaração",2799516,92.28,234214,7.72,,,,904691.18,,,"ibge-sidra-137-religion-2000-2010|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs",""
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:51","51","Mato Grosso - MT",2022,3091254,"people aged 10 years or older in SIDRA table 9537, variable 140, category Total minus Sem declaração",2839342,91.85,251912,8.15,,,,904691.18,,,"ibge-sidra-9537-religion-age10plus-2022|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs","age_universe_10_plus"
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:52","52","Goiás - GO",2000,4995198,"resident population in SIDRA table 137, variable 93, category Total minus Sem declaração",4600597,92.1,394601,7.9,,,,341077.17,,,"ibge-sidra-137-religion-2000-2010|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs",""
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:52","52","Goiás - GO",2010,6003060,"resident population in SIDRA table 137, variable 93, category Total minus Sem declaração",5516146,91.89,486914,8.11,,,,341077.17,,,"ibge-sidra-137-religion-2000-2010|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs",""
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:52","52","Goiás - GO",2022,6096009,"people aged 10 years or older in SIDRA table 9537, variable 140, category Total minus Sem declaração",5583679,91.6,512330,8.4,,,,341077.17,,,"ibge-sidra-9537-religion-age10plus-2022|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs","age_universe_10_plus"
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:53","53","Distrito Federal - DF",2000,2048086,"resident population in SIDRA table 137, variable 93, category Total minus Sem declaração",1870820,91.34,177266,8.66,,,,5853.62,,,"ibge-sidra-137-religion-2000-2010|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs",""
