"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","printed_population_total","religion_universe_deviation","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag","composition"
"MY","my-osm-adm2-2020-derived","administrative_district","MY-DIST-020","MY-DOSM-bukit-mabong","Bukit Mabong",2010,,"Agama/ Religion",,,,,,,,,,,,,"my-dosm-census-religion-1991-2020","no_religion_line_fused_with_unknown_as_printed;dosm_printed_2020_reporting_frame;source_cell_unavailable_as_printed",
"MY","my-osm-adm2-2020-derived","administrative_district","MY-DIST-020","MY-DOSM-bukit-mabong","Bukit Mabong",2020,10155,"Agama/ Religion",10155,0,10017,98.6410635155096,138,1.3589364844904,,,,,,,"my-dosm-census-religion-1991-2020","no_religion_line_fused_with_unknown_as_printed;dosm_printed_2020_reporting_frame","Islam=660;Christianity=9239;Buddhism=100;Hinduism=6;Others=12;No Religion/Unknown=138"
"MY","my-osm-adm2-2020-derived","administrative_district","MY-DIST-021","MY-DOSM-cameron-highlands","Cameron Highlands",1991,25109,"Agama/ Religion",25555,-446,24585,97.9130988888446,524,2.08690111115536,,,,,,,"my-dosm-census-religion-1991-2020","no_religion_line_fused_with_unknown_as_printed;dosm_printed_2020_reporting_frame;religion_universe_differs_from_printed_population_total","Islam=5380;Christianity=742;Buddhism=8276;Hinduism=6375;Others=3812;No Religion/Unknown=524"
"MY","my-osm-adm2-2020-derived","administrative_district","MY-DIST-021","MY-DOSM-cameron-highlands","Cameron Highlands",2000,28077,"Agama/ Religion",28077,0,27652,98.4863055169712,425,1.51369448302881,,,,,,,"my-dosm-census-religion-1991-2020","no_religion_line_fused_with_unknown_as_printed;dosm_printed_2020_reporting_frame","Islam=8190;Christianity=1174;Buddhism=10183;Hinduism=4695;Others=3410;No Religion/Unknown=425"
"MY","my-osm-adm2-2020-derived","administrative_district","MY-DIST-021","MY-DOSM-cameron-highlands","Cameron Highlands",2010,36978,"Agama/ Religion",36978,0,33552,90.7350316404349,3426,9.26496835956515,,,,,,,"my-dosm-census-religion-1991-2020","no_religion_line_fused_with_unknown_as_printed;dosm_printed_2020_reporting_frame","Islam=10559;Christianity=1350;Buddhism=12753;Hinduism=6747;Others=2143;No Religion/Unknown=3426"
"MY","my-osm-adm2-2020-derived","administrative_district","MY-DIST-021","MY-DOSM-cameron-highlands","Cameron Highlands",2020,39004,"Agama/ Religion",39004,0,35568,91.1906471131166,3436,8.8093528868834,,,,,,,"my-dosm-census-religion-1991-2020","no_religion_line_fused_with_unknown_as_printed;dosm_printed_2020_reporting_frame","Islam=15549;Christianity=1700;Buddhism=11748;Hinduism=4870;Others=1701;No Religion/Unknown=3436"
"MY","my-osm-adm2-2020-derived","administrative_district","MY-DIST-022","MY-DOSM-dalat","Dalat",1991,24252,"Agama/ Religion",24296,-44,23116,95.3158502391555,1136,4.68414976084447,,,,,,,"my-dosm-census-religion-1991-2020","no_religion_line_fused_with_unknown_as_printed;dosm_printed_2020_reporting_frame;religion_universe_differs_from_printed_population_total","Islam=8787;Christianity=6681;Buddhism=424;Hinduism=5;Others=7219;No Religion/Unknown=1136"
"MY","my-osm-adm2-2020-derived","administrative_district","MY-DIST-022","MY-DOSM-dalat","Dalat",2000,23462,"Agama/ Religion",23462,0,22864,97.4511976813571,598,2.54880231864291,,,,,,,"my-dosm-census-religion-1991-2020","no_religion_line_fused_with_unknown_as_printed;dosm_printed_2020_reporting_frame","Islam=7837;Christianity=7943;Buddhism=540;Hinduism=2;Others=6542;No Religion/Unknown=598"
"MY","my-osm-adm2-2020-derived","administrative_district","MY-DIST-022","MY-DOSM-dalat","Dalat",2010,18523,"Agama/ Religion",18523,0,16904,91.2595151973222,1619,8.74048480267775,,,,,,,"my-dosm-census-religion-1991-2020","no_religion_line_fused_with_unknown_as_printed;dosm_printed_2020_reporting_frame;partial_category_null_as_printed","Islam=8644;Christianity=6134;Buddhism=723;Others=1403;No Religion/Unknown=1619"
"MY","my-osm-adm2-2020-derived","administrative_district","MY-DIST-022","MY-DOSM-dalat","Dalat",2020,21147,"Agama/ Religion",21147,0,19653,92.9351681089516,1494,7.06483189104838,,,,,,,"my-dosm-census-religion-1991-2020","no_religion_line_fused_with_unknown_as_printed;dosm_printed_2020_reporting_frame","Islam=12363;Christianity=6745;Buddhism=520;Hinduism=2;Others=23;No Religion/Unknown=1494"
