geography,geo_level,province,census_year,religion_label_source,religion_label_normalised,count
Santo,island,Sanma,2009,Total,total,39601
Santo,island,Sanma,2009,Anglican,anglican,5434
Santo,island,Sanma,2009,Presbyterian,presbyterian,10507
Santo,island,Sanma,2009,Catholic,catholic,5542
Santo,island,Sanma,2009,SDA,seventh_day_adventist,4702
Santo,island,Sanma,2009,Church of Christ,church_of_christ,1521
Santo,island,Sanma,2009,AOG,assemblies_of_god,1348
Santo,island,Sanma,2009,NTM,neil_thomas_ministry,1285
Santo,island,Sanma,2009,Apostolic,apostolic,1422
Santo,island,Sanma,2009,Others,other,6578
Santo,island,Sanma,2009,Customary beliefs,customary_beliefs,783
Santo,island,Sanma,2009,No religion,no_religion,373
Santo,island,Sanma,2009,Refuse to answer,refuse_to_answer,106
Tangoa,island,Sanma,2009,Total,total,394
Tangoa,island,Sanma,2009,Anglican,anglican,45
Tangoa,island,Sanma,2009,Presbyterian,presbyterian,349
Tangoa,island,Sanma,2009,Catholic,catholic,0
Tangoa,island,Sanma,2009,SDA,seventh_day_adventist,0
Tangoa,island,Sanma,2009,Church of Christ,church_of_christ,0
Tangoa,island,Sanma,2009,AOG,assemblies_of_god,0
Tangoa,island,Sanma,2009,NTM,neil_thomas_ministry,0
Tangoa,island,Sanma,2009,Apostolic,apostolic,0
Tangoa,island,Sanma,2009,Others,other,0
Tangoa,island,Sanma,2009,Customary beliefs,customary_beliefs,0
Tangoa,island,Sanma,2009,No religion,no_religion,0
Tangoa,island,Sanma,2009,Refuse to answer,refuse_to_answer,0
Tutuba,island,Sanma,2009,Total,total,609
Tutuba,island,Sanma,2009,Anglican,anglican,9
Tutuba,island,Sanma,2009,Presbyterian,presbyterian,147
Tutuba,island,Sanma,2009,Catholic,catholic,0
Tutuba,island,Sanma,2009,SDA,seventh_day_adventist,52
Tutuba,island,Sanma,2009,Church of Christ,church_of_christ,240
Tutuba,island,Sanma,2009,AOG,assemblies_of_god,3
Tutuba,island,Sanma,2009,NTM,neil_thomas_ministry,2
Tutuba,island,Sanma,2009,Apostolic,apostolic,70
Tutuba,island,Sanma,2009,Others,other,86
Tutuba,island,Sanma,2009,Customary beliefs,customary_beliefs,0
Tutuba,island,Sanma,2009,No religion,no_religion,0
Tutuba,island,Sanma,2009,Refuse to answer,refuse_to_answer,0
PENAMA,province,Penama,2009,Total,total,30819
PENAMA,province,Penama,2009,Anglican,anglican,14263
PENAMA,province,Penama,2009,Presbyterian,presbyterian,162
PENAMA,province,Penama,2009,Catholic,catholic,5640
PENAMA,province,Penama,2009,SDA,seventh_day_adventist,2122
PENAMA,province,Penama,2009,Church of Christ,church_of_christ,4977
PENAMA,province,Penama,2009,AOG,assemblies_of_god,201
PENAMA,province,Penama,2009,NTM,neil_thomas_ministry,409
PENAMA,province,Penama,2009,Apostolic,apostolic,919
PENAMA,province,Penama,2009,Others,other,1294
PENAMA,province,Penama,2009,Customary beliefs,customary_beliefs,643
PENAMA,province,Penama,2009,No religion,no_religion,167
PENAMA,province,Penama,2009,Refuse to answer,refuse_to_answer,22
Ambae,island,Penama,2009,Total,total,10407
Ambae,island,Penama,2009,Anglican,anglican,4100
Ambae,island,Penama,2009,Presbyterian,presbyterian,89
Ambae,island,Penama,2009,Catholic,catholic,727
Ambae,island,Penama,2009,SDA,seventh_day_adventist,1513
Ambae,island,Penama,2009,Church of Christ,church_of_christ,2093
Ambae,island,Penama,2009,AOG,assemblies_of_god,176
Ambae,island,Penama,2009,NTM,neil_thomas_ministry,126
Ambae,island,Penama,2009,Apostolic,apostolic,888
Ambae,island,Penama,2009,Others,other,663
Ambae,island,Penama,2009,Customary beliefs,customary_beliefs,16
Ambae,island,Penama,2009,No religion,no_religion,2
Ambae,island,Penama,2009,Refuse to answer,refuse_to_answer,14
Maewo,island,Penama,2009,Total,total,3569
Maewo,island,Penama,2009,Anglican,anglican,2604
Maewo,island,Penama,2009,Presbyterian,presbyterian,7
Maewo,island,Penama,2009,Catholic,catholic,8
Maewo,island,Penama,2009,SDA,seventh_day_adventist,221
Maewo,island,Penama,2009,Church of Christ,church_of_christ,623
Maewo,island,Penama,2009,AOG,assemblies_of_god,1
Maewo,island,Penama,2009,NTM,neil_thomas_ministry,2
Maewo,island,Penama,2009,Apostolic,apostolic,19
Maewo,island,Penama,2009,Others,other,84
Maewo,island,Penama,2009,Customary beliefs,customary_beliefs,0
Maewo,island,Penama,2009,No religion,no_religion,0
Maewo,island,Penama,2009,Refuse to answer,refuse_to_answer,0
Pentecost,island,Penama,2009,Total,total,16843
Pentecost,island,Penama,2009,Anglican,anglican,7559
Pentecost,island,Penama,2009,Presbyterian,presbyterian,66
Pentecost,island,Penama,2009,Catholic,catholic,4905
Pentecost,island,Penama,2009,SDA,seventh_day_adventist,388
Pentecost,island,Penama,2009,Church of Christ,church_of_christ,2261
Pentecost,island,Penama,2009,AOG,assemblies_of_god,24
Pentecost,island,Penama,2009,NTM,neil_thomas_ministry,281
Pentecost,island,Penama,2009,Apostolic,apostolic,12
Pentecost,island,Penama,2009,Others,other,547
Pentecost,island,Penama,2009,Customary beliefs,customary_beliefs,627
Pentecost,island,Penama,2009,No religion,no_religion,165
Pentecost,island,Penama,2009,Refuse to answer,refuse_to_answer,8
MALAMPA,province,Malampa,2009,Total,total,36727
MALAMPA,province,Malampa,2009,Anglican,anglican,1162
MALAMPA,province,Malampa,2009,Presbyterian,presbyterian,15494
MALAMPA,province,Malampa,2009,Catholic,catholic,7221
MALAMPA,province,Malampa,2009,SDA,seventh_day_adventist,5771
