geography,geo_level,province,census_year,religion_label_source,religion_label_normalised,count
South East Santo,area_council,Sanma,2020,Neil Thomas Ministry / Inner Life Ministry,neil_thomas_ministry,116
South East Santo,area_council,Sanma,2020,Customary beliefs,customary_beliefs,11
South East Santo,area_council,Sanma,2020,Apostolic,apostolic,405
South East Santo,area_council,Sanma,2020,Latter Day Saints (Mormon),latter_day_saints,292
South East Santo,area_council,Sanma,2020,Other churches,other,965
South East Santo,area_council,Sanma,2020,No Religion/Faith,no_religion,25
South East Santo,area_council,Sanma,2020,Refuse to answer,refuse_to_answer,12
South East Santo,area_council,Sanma,2020,Not Stated,not_stated,1
Canal - Fanafo,area_council,Sanma,2020,Total,total,5731
Canal - Fanafo,area_council,Sanma,2020,Presbyterian,presbyterian,1056
Canal - Fanafo,area_council,Sanma,2020,Seventh Day Adventist (SDA),seventh_day_adventist,820
Canal - Fanafo,area_council,Sanma,2020,Catholic,catholic,751
Canal - Fanafo,area_council,Sanma,2020,Anglican,anglican,546
Canal - Fanafo,area_council,Sanma,2020,Churches of Christ,church_of_christ,472
Canal - Fanafo,area_council,Sanma,2020,Assemblies of God (AOG),assemblies_of_god,113
Canal - Fanafo,area_council,Sanma,2020,Neil Thomas Ministry / Inner Life Ministry,neil_thomas_ministry,184
Canal - Fanafo,area_council,Sanma,2020,Customary beliefs,customary_beliefs,62
Canal - Fanafo,area_council,Sanma,2020,Apostolic,apostolic,503
Canal - Fanafo,area_council,Sanma,2020,Latter Day Saints (Mormon),latter_day_saints,228
Canal - Fanafo,area_council,Sanma,2020,Other churches,other,831
Canal - Fanafo,area_council,Sanma,2020,No Religion/Faith,no_religion,153
Canal - Fanafo,area_council,Sanma,2020,Refuse to answer,refuse_to_answer,11
Canal - Fanafo,area_council,Sanma,2020,Not Stated,not_stated,0
West Malo,area_council,Sanma,2020,Total,total,2657
West Malo,area_council,Sanma,2020,Presbyterian,presbyterian,1201
West Malo,area_council,Sanma,2020,Seventh Day Adventist (SDA),seventh_day_adventist,324
West Malo,area_council,Sanma,2020,Catholic,catholic,10
West Malo,area_council,Sanma,2020,Anglican,anglican,71
