Census Year,Subject population,Religious affiliation,Religious affiliation Code,Territorial authority,Territorial authority Code,Unit,Value,Value Unit,Value Label,Null Reason
2013,Census usually resident population,Christianity,Christianity,Hurunui,Hurunui District,Count,5451,number,Number of people,
2013,Census usually resident population,Christianity,Christianity,Hurunui,Hurunui District,Percentage of total stated,47.28077023159,percentage,% of people,
2013,Census usually resident population,Hinduism,Hinduism,Hurunui,Hurunui District,Count,48,number,Number of people,
2013,Census usually resident population,Hinduism,Hinduism,Hurunui,Hurunui District,Percentage of total stated,0.416341399948,percentage,% of people,
2013,Census usually resident population,Islam,Islam,Hurunui,Hurunui District,Count,21,number,Number of people,
2013,Census usually resident population,Islam,Islam,Hurunui,Hurunui District,Percentage of total stated,0.1821493624772,percentage,% of people,
2013,Census usually resident population,Judaism,Judaism,Hurunui,Hurunui District,Count,9,number,Number of people,
2013,Census usually resident population,Judaism,Judaism,Hurunui,Hurunui District,Percentage of total stated,0.07806401249024,percentage,% of people,
2013,Census usually resident population,"Māori religions, beliefs and philosophies","Māori Religions, Beliefs and Philosophies",Hurunui,Hurunui District,Count,30,number,Number of people,
2013,Census usually resident population,"Māori religions, beliefs and philosophies","Māori Religions, Beliefs and Philosophies",Hurunui,Hurunui District,Percentage of total stated,0.2602133749675,percentage,% of people,
2013,Census usually resident population,Spiritualism and New Age religions,Spiritualism and New Age religions,Hurunui,Hurunui District,Count,54,number,Number of people,
2013,Census usually resident population,Spiritualism and New Age religions,Spiritualism and New Age religions,Hurunui,Hurunui District,Percentage of total stated,0.4683840749415,percentage,% of people,
2013,Census usually resident population,"Other Religions, Beliefs and Philosophies","Other Religions, Beliefs and Philosophies",Hurunui,Hurunui District,Count,33,number,Number of people,
2013,Census usually resident population,"Other Religions, Beliefs and Philosophies","Other Religions, Beliefs and Philosophies",Hurunui,Hurunui District,Percentage of total stated,0.2862347124642,percentage,% of people,
2013,Census usually resident population,Buddhism (not further defined),Buddhism nfd,Hurunui,Hurunui District,Count,51,number,Number of people,
2013,Census usually resident population,Buddhism (not further defined),Buddhism nfd,Hurunui,Hurunui District,Percentage of total stated,0.4423627374447,percentage,% of people,
2013,Census usually resident population,Zen Buddhism,Zen Buddhism,Hurunui,Hurunui District,Count,3,number,Number of people,
2013,Census usually resident population,Zen Buddhism,Zen Buddhism,Hurunui,Hurunui District,Percentage of total stated,0.02602133749675,percentage,% of people,
2013,Census usually resident population,Buddhism (not elsewhere classified),Buddhism nec,Hurunui,Hurunui District,Count,0,number,Number of people,
