"gisjoin","year","boundary_year","area_name","source_area_name","state_name","state_code","county_name","county_code","population_total","population_reference_year","church_or_edifice_count","church_count_basis","church_seating_count","church_seating_per_100_population","churches_or_edifices_per_10000_residents","church_property_value","member_count","members_per_100_population","land_area_sq_km","quality_flag"
"G2800870",1870,1870,"Lowndes, Mississippi","Lowndes","Mississippi","280","Lowndes","0870",30502,1870,40,"total religious edifices from NHGIS table NT44 (AK8001)",11900,39.0138,13.1139,159200,,,1612.88,"wave_coverage_differs"
"G1901170",1870,1870,"Lucas, Iowa","Lucas","Iowa","190","Lucas","1170",10388,1870,11,"total religious edifices from NHGIS table NT44 (AK8001)",2850,27.4355,10.5891,35500,,,1125.13,"wave_coverage_differs"
"G3900950",1870,1870,"Lucas, Ohio","Lucas","Ohio","390","Lucas","0950",46722,1870,46,"total religious edifices from NHGIS table NT44 (AK8001)",19325,41.3617,9.8455,398800,,,886.11,"wave_coverage_differs"
"G1301870",1870,1870,"Lumpkin, Georgia","Lumpkin","Georgia","130","Lumpkin","1870",5161,1870,28,"total religious edifices from NHGIS table NT44 (AK8001)",6000,116.2565,54.2531,7700,,,758.12,"wave_coverage_differs"
"G5101110",1870,1870,"Lunenburg, Virginia","Lunenburg","Virginia","510","Lunenburg","1110",10403,1870,16,"total religious edifices from NHGIS table NT44 (AK8001)",975,9.3723,15.3802,1280,,,1119.85,"wave_coverage_differs"
"G4200790",1870,1870,"Luzerne, Pennsylvania","Luzerne","Pennsylvania","420","Luzerne","0790",160915,1870,161,"total religious edifices from NHGIS table NT44 (AK8001)",66970,41.6182,10.0053,1230750,,,3552.58,"wave_coverage_differs"
"G4200810",1870,1870,"Lycoming, Pennsylvania","Lycoming","Pennsylvania","420","Lycoming","0810",47626,1870,87,"total religious edifices from NHGIS table NT44 (AK8001)",28720,60.3032,18.2673,624150,,,3220.76,"wave_coverage_differs"
"G1901190",1870,1870,"Lyon, Iowa","Lyon","Iowa","190","Lyon","1190",221,1870,0,"total religious edifices from NHGIS table NT44 (AK8001)",0,0,0,0,,,1522.35,"wave_coverage_differs"
"G2001110",1870,1870,"Lyon, Kansas","Lyon","Kansas","200","Lyon","1110",8014,1870,11,"total religious edifices from NHGIS table NT44 (AK8001)",2750,34.3149,13.726,24500,,,2215.46,"wave_coverage_differs"
"G2101430",1870,1870,"Lyon, Kentucky","Lyon","Kentucky","210","Lyon","1430",6233,1870,13,"total religious edifices from NHGIS table NT44 (AK8001)",3050,48.9331,20.8567,9850,,,665.87,"wave_coverage_differs"
