"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0107508047","SK0107508047","Limbach",2021,2287,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",1380,60.34,797,34.85,,,,15.4,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0107508101","SK0107508101","Modra",2021,9346,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",5828,62.36,2945,31.51,,,,49.49,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0107508179","SK0107508179","Pezinok",2021,24900,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",13944,56,9044,36.32,,,,72.65,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0107508187","SK0107508187","Píla (Okres Pezinok)",2021,347,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",226,65.13,118,34.01,,,,0.54,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0107508225","SK0107508225","Slovenský Grob",2021,5202,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",3149,60.53,1696,32.6,,,,10.37,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0107508250","SK0107508250","Šenkvice",2021,5260,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",3571,67.89,1461,27.78,,,,25.05,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0107508268","SK0107508268","Štefanová",2021,388,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",275,70.88,100,25.77,,,,6.56,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0107508306","SK0107508306","Viničné",2021,2687,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",1721,64.05,820,30.52,,,,9.54,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0107508314","SK0107508314","Vinosady",2021,1473,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",921,62.53,459,31.16,,,,4.86,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0107508322","SK0107508322","Vištuk",2021,1392,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",1017,73.06,325,23.35,,,,20,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0108503681","SK0108503681","Boldog",2021,488,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",357,73.16,111,22.75,,,,4.65,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0108503797","SK0108503797","Hrubá Borša",2021,1323,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",820,61.98,468,35.37,,,,5.92,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0108503801","SK0108503801","Hrubý Šúr",2021,1038,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",794,76.49,180,17.34,,,,6.16,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0108503819","SK0108503819","Hurbanova Ves",2021,529,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",310,58.6,206,38.94,,,,5.41,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0108503851","SK0108503851","Kostolná pri Dunaji",2021,781,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",606,77.59,154,19.72,,,,7.99,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0108503894","SK0108503894","Kráľová pri Senci",2021,2233,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",1422,63.68,642,28.75,,,,19.99,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0108503983","SK0108503983","Reca",2021,1656,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",1119,67.57,451,27.23,,,,9.71,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0108507814","SK0108507814","Bernolákovo",2021,8801,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",4824,54.81,3309,37.6,,,,28.47,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0108507822","SK0108507822","Blatné",2021,1828,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",1348,73.74,353,19.31,,,,16.01,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0108507865","SK0108507865","Čataj",2021,1205,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",896,74.36,232,19.25,,,,12.64,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0108507903","SK0108507903","Hamuliakovo",2021,2568,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",1544,60.12,973,37.89,,,,10.72,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0108507911","SK0108507911","Chorvátsky Grob",2021,6830,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",3635,53.22,2796,40.94,,,,14.9,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0108507938","SK0108507938","Ivanka pri Dunaji",2021,6971,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",3641,52.23,2795,40.09,,,,14.31,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
